UniqueID,Region,AOI,Start_date,End_date,Duration,ShrCount,UncyCount,NSM,SCE,EPR,EPRunc,LRR,LRI,LCI,LSE,LR2,WLR,WLI,WCI,WSE,WR2,Dates,Distances,OrientFix
100227997741,Auckland,Hobsonville,1940-04-22,2024-01-01,84,4,4,-8.68,13.15,-0.1,0.03,-0.14,245.22,0.1,2.46,0.9,-0.12,243.25,0.24,4.09,0.5,"['1940-04-22', '1950-10-14', '2017-01-01', '2024-01-01']","[243.75, 245.63, 232.47, 235.07]",kept
100227998951,Auckland,Hobsonville,1940-04-22,2024-01-01,84,4,4,-9.52,11.79,-0.11,0.03,-0.14,243.56,0.07,1.68,0.95,-0.12,242.09,0.18,3.02,0.66,"['1940-04-22', '1950-10-14', '2017-01-01', '2024-01-01']","[242.68, 243.26, 231.47, 233.15]",kept
100227999629,Auckland,Hobsonville,1940-04-22,2024-01-01,84,4,4,-9.36,10.93,-0.11,0.03,-0.13,241.34,0.05,1.41,0.96,-0.12,240.04,0.16,2.65,0.7,"['1940-04-22', '1950-10-14', '2017-01-01', '2024-01-01']","[240.68, 240.83, 229.91, 231.32]",kept
100228000306,Auckland,Hobsonville,1940-04-22,2024-01-01,84,4,4,-7.23,8.25,-0.09,0.03,-0.1,237.82,0.04,0.96,0.97,-0.09,236.86,0.11,1.93,0.72,"['1940-04-22', '1950-10-14', '2017-01-01', '2024-01-01']","[237.46, 237.26, 229.21, 230.23]",kept
100228000764,Auckland,Hobsonville,1940-04-22,2024-01-01,84,4,4,-6.62,10.27,-0.08,0.03,-0.11,238.33,0.08,2.02,0.89,-0.1,237.18,0.15,2.51,0.64,"['1940-04-22', '1950-10-14', '2017-01-01', '2024-01-01']","[236.79, 239.08, 228.81, 230.17]",kept
100228001307,Auckland,Hobsonville,1940-04-22,2024-01-01,84,4,4,-5.59,6.31,-0.07,0.03,-0.07,235.19,0.03,0.78,0.96,-0.06,234.5,0.08,1.36,0.7,"['1940-04-22', '1950-10-14', '2017-01-01', '2024-01-01']","[235.68, 233.97, 229.37, 230.09]",kept
100228001836,Auckland,Hobsonville,1940-04-22,2024-01-01,84,4,4,-5.35,6.48,-0.06,0.03,-0.06,235.02,0.05,1.18,0.89,-0.05,234.12,0.11,1.8,0.5,"['1940-04-22', '1950-10-14', '2017-01-01', '2024-01-01']","[235.88, 233.45, 229.4, 230.53]",kept
100228002363,Auckland,Hobsonville,1940-04-22,2024-01-01,84,4,4,-8.17,9.29,-0.1,0.03,-0.07,237.1,0.12,3.22,0.61,-0.06,236.1,0.14,2.31,0.45,"['1940-04-22', '1950-10-14', '2017-01-01', '2024-01-01']","[240.02, 233.03, 230.73, 231.85]",kept
100228003092,Auckland,Hobsonville,1940-04-22,2024-01-01,84,4,4,-8.64,9.99,-0.1,0.03,-0.08,238.97,0.14,3.57,0.58,-0.06,237.82,0.16,2.63,0.4,"['1940-04-22', '1950-10-14', '2017-01-01', '2024-01-01']","[242.2, 234.53, 232.21, 233.56]",kept
100228003821,Auckland,Hobsonville,1940-04-22,2024-01-01,84,4,4,-5.95,5.97,-0.07,0.03,-0.05,239.07,0.07,1.92,0.69,-0.05,238.81,0.06,0.98,0.75,"['1940-04-22', '1950-10-14', '2017-01-01', '2024-01-01']","[240.85, 236.49, 234.88, 234.9]",kept
100228004355,Auckland,Hobsonville,1950-10-14,2024-01-01,73,3,3,0.17,0.62,0.0,0.03,0.01,236.99,0.04,0.34,0.42,-0.0,237.5,0.14,0.75,0.01,"['1950-10-14', '2017-01-01', '2024-01-01']","[236.97, 237.59, 237.14]",kept
100228005103,Auckland,Hobsonville,1950-10-14,2024-01-01,73,3,3,-1.92,1.92,-0.03,0.03,-0.02,241.01,0.06,0.55,0.84,-0.03,241.81,0.22,1.18,0.48,"['1950-10-14', '2017-01-01', '2024-01-01']","[240.97, 239.97, 239.05]",kept
100228052321,Auckland,Hobsonville,1940-04-22,2017-01-01,77,10,10,-37.36,57.38,-0.49,0.03,-0.06,196.31,0.42,17.6,0.01,-0.02,196.62,0.28,8.23,0.0,"['1940-04-22', '1950-10-14', '1963-04-27', '1972-04-14', '1981-01-04', '1988-02-01', '1999-01-01', '2003-01-01', '2012-01-01', '2017-01-01']","[231.27, 181.28, 173.89, 175.77, 202.09, 184.8, 196.82, 198.88, 199.43, 193.91]",kept
100228052722,Auckland,Hobsonville,1940-04-22,2012-01-01,72,5,5,-30.8,42.2,-0.43,0.03,-0.4,226.83,0.52,13.4,0.52,-0.3,226.68,0.34,5.92,0.59,"['1940-04-22', '1950-10-14', '1972-04-14', '1999-01-01', '2012-01-01']","[237.28, 222.69, 195.08, 204.18, 206.48]",kept
100228052723,Auckland,Hobsonville,1940-04-22,2012-01-01,72,6,6,-31.34,47.6,-0.44,0.03,-0.34,218.96,0.6,17.45,0.27,-0.2,217.54,0.39,8.19,0.22,"['1940-04-22', '1950-10-14', '1963-04-27', '1972-04-14', '1999-01-01', '2012-01-01']","[236.18, 222.55, 188.58, 192.55, 202.91, 204.85]",kept
100228053247,Auckland,Hobsonville,1940-04-22,2012-01-01,72,6,6,-27.17,34.4,-0.38,0.03,-0.38,227.51,0.32,9.22,0.61,-0.29,226.89,0.21,4.11,0.69,"['1940-04-22', '1950-10-14', '1972-04-14', '1981-01-04', '1999-01-01', '2012-01-01']","[234.14, 226.1, 199.74, 211.69, 205.76, 206.97]",kept
