driver,response,method,block_len_m,rho,lo,hi,n,n_blocks
hs_mean,WLR,spearman,500,0.024475675060126614,0.0003063624611075166,0.049628340984779834,228538,5453
hs_mean,WLR,spearman,1000,0.024475675060126614,-0.010345730143281875,0.056645264107518876,228538,2959
hs_mean,WLR,pearson,1000,0.06635089214317133,0.02884775264462724,0.10289215270313098,228538,2959
hs_mean,WLR,spearman,2000,0.024475675060126614,-0.0208191445879486,0.0681973695626168,228538,1647
hs_mean,NSM,spearman,1000,0.039862313652905365,0.0056653500497077566,0.07243802214577091,228538,2959
hs_mean,NSM,pearson,1000,0.06968003792315268,0.029761382300889188,0.1047464966934614,228538,2959
hs_mean,SCE,spearman,1000,0.0378764433404072,0.003259482396809949,0.075023738966281,228538,2959
hs_mean,SCE,pearson,1000,0.10201194210056819,0.07029857323286001,0.13264131466480644,228538,2959
hs_mean,EPR,spearman,1000,0.043393630206107994,0.009270857319484889,0.07670297770537528,228538,2959
hs_mean,EPR,pearson,1000,0.06572079005540947,0.02939404921644352,0.10107774970329328,228538,2959
hs_p99,WLR,spearman,500,0.0954718558404351,0.0707406320148985,0.1203964732903158,228538,5453
hs_p99,WLR,spearman,1000,0.0954718558404351,0.05992871457055664,0.1301902658110633,228538,2959
hs_p99,WLR,pearson,1000,0.09995616248600403,0.07090531763548716,0.13020938386397998,228538,2959
hs_p99,WLR,spearman,2000,0.0954718558404351,0.04975287274465029,0.13771216912320197,228538,1647
hs_p99,NSM,spearman,1000,0.10353312721323739,0.06754982436547759,0.13634119919232413,228538,2959
hs_p99,NSM,pearson,1000,0.09429700577202853,0.06244531606117092,0.12492412627754863,228538,2959
hs_p99,SCE,spearman,1000,0.029102691131434356,-0.0030361385962777636,0.06502984960697751,228538,2959
hs_p99,SCE,pearson,1000,0.07152452682732134,0.04037923858328147,0.10268279402929593,228538,2959
hs_p99,EPR,spearman,1000,0.10639417954250859,0.07043583665987374,0.13963850980230247,228538,2959
hs_p99,EPR,pearson,1000,0.09625922648715715,0.06701952848933279,0.12716045017531358,228538,2959
storm_hrs_gt4m_yr,WLR,spearman,500,0.12112776729101028,0.09503536893868217,0.14635925583741066,228538,5453
storm_hrs_gt4m_yr,WLR,spearman,1000,0.12112776729101028,0.08686614096145158,0.1563593972350445,228538,2959
storm_hrs_gt4m_yr,WLR,pearson,1000,0.0739275818002651,0.041806425746782894,0.11307965158335752,228538,2959
storm_hrs_gt4m_yr,WLR,spearman,2000,0.12112776729101028,0.07662621362314188,0.16342200209734833,228538,1647
storm_hrs_gt4m_yr,NSM,spearman,1000,0.12825710067653437,0.0929773108507581,0.16276548176762226,228538,2959
storm_hrs_gt4m_yr,NSM,pearson,1000,0.07679163485502986,0.04342534990798543,0.1194595852906692,228538,2959
storm_hrs_gt4m_yr,SCE,spearman,1000,0.010120187857440607,-0.021729676001999144,0.045701847986952225,228538,2959
storm_hrs_gt4m_yr,SCE,pearson,1000,0.03315469326173807,-0.0013872394204290255,0.07639535295208652,228538,2959
storm_hrs_gt4m_yr,EPR,spearman,1000,0.13091915866826595,0.09546857030030849,0.16575854252813252,228538,2959
storm_hrs_gt4m_yr,EPR,pearson,1000,0.07870990802806734,0.045619668740488145,0.12022478964364398,228538,2959
cge_mean,WLR,spearman,500,0.04042456065920158,0.015707377850367122,0.06548941339411718,228538,5453
cge_mean,WLR,spearman,1000,0.04042456065920158,0.005324522597844839,0.07410852828815095,228538,2959
cge_mean,WLR,pearson,1000,0.08239170014329078,0.04649631354490629,0.11992341200875253,228538,2959
cge_mean,WLR,spearman,2000,0.04042456065920158,-0.004971789678853624,0.08395470991434242,228538,1647
cge_mean,NSM,spearman,1000,0.05737281992126295,0.022513271458752922,0.0913392767096624,228538,2959
cge_mean,NSM,pearson,1000,0.08508632561851716,0.04739635611042059,0.12296313424115775,228538,2959
cge_mean,SCE,spearman,1000,0.038348538122818514,0.00426489380535433,0.07571545450302168,228538,2959
cge_mean,SCE,pearson,1000,0.09709157913163866,0.06490129885229952,0.1306732464947712,228538,2959
cge_mean,EPR,spearman,1000,0.060622830379515234,0.02558416998926856,0.09454796474777062,228538,2959
cge_mean,EPR,pearson,1000,0.08452195636466882,0.048922729756163706,0.12161817917091824,228538,2959
t01_mean,WLR,spearman,500,-0.022027982161191523,-0.045778275284924515,0.004304910736230209,228538,5453
t01_mean,WLR,spearman,1000,-0.022027982161191523,-0.057501936390282865,0.014834348842674509,228538,2959
t01_mean,WLR,pearson,1000,0.038930674412175306,-0.007732448213060695,0.07934615600413936,228538,2959
t01_mean,WLR,spearman,2000,-0.022027982161191523,-0.06880820477176182,0.024365047800359595,228538,1647
t01_mean,NSM,spearman,1000,0.011068287048005832,-0.023857425872953895,0.04497249906614951,228538,2959
t01_mean,NSM,pearson,1000,0.055629815733756485,0.0057472090397540235,0.0954018162798992,228538,2959
t01_mean,SCE,spearman,1000,0.07976824185208879,0.04437883200827012,0.11938554526290589,228538,2959
t01_mean,SCE,pearson,1000,0.1370752010762194,0.10774349355702596,0.1666807385961435,228538,2959
