filename,matched_image,match_score,n_lines,driver,dtype,nodata,width,height,count,crs,transform,blockxsize,blockysize,tiled,compress,interleave,GCPs,res,CPS,photometric
MaxarImagery/HighFreq/HawkesBay/Mahanga/Shorelines/Mahanga_31AUG2005.shp,MaxarImagery/HighFreq/HawkesBay/Mahanga/Imagery/Stack/Mahanga_31AUG2005.tif,100.0,2,GTiff,uint8,,3975,12039,3,,"| 0.60, 0.00, 2022707.13|
| 0.00,-0.60, 5670278.45|
| 0.00, 0.00, 1.00|",128.0,128,True,lzw,pixel,26,"(0.6, 0.5999999999999536)",True,
Retrolens/Northland/WhangareiHeads/Shorelines/WhangareiHeads_27APR1950.shp,Retrolens/Northland/WhangareiHeads/Stack/WhangareiHeads_27APR1950_mosaic.jp2,100.0,3,JP2OpenJPEG,uint16,256.0,29389,40103,1,"PROJCS[""NZGD2000 / New Zealand Transverse Mercator 2000"",GEOGCS[""NZGD2000"",DATUM[""New_Zealand_Geodetic_Datum_2000"",SPHEROID[""GRS 1980"",6378137,298.257222101004,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""6167""]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4167""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",173],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",1600000],PARAMETER[""false_northing"",10000000],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH],AUTHORITY[""EPSG"",""2193""]]","| 0.26, 0.00, 1737085.20|
| 0.00,-0.26, 6039917.24|
| 0.00, 0.00, 1.00|",,40103,False,,,0,"(0.2624698238999704, 0.26246982389997436)",True,
Retrolens/Northland/WhangareiHeads/Shorelines/WhangareiHeads_17JUN1966.shp,Retrolens/Northland/WhangareiHeads/Stack/WhangareiHeads_17JUN1966_mosaic.jp2,100.0,13,JP2OpenJPEG,uint16,256.0,8231,11231,1,"PROJCS[""NZGD2000 / New Zealand Transverse Mercator 2000"",GEOGCS[""NZGD2000"",DATUM[""New_Zealand_Geodetic_Datum_2000"",SPHEROID[""GRS 1980"",6378137,298.257222101004,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""6167""]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4167""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",173],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",1600000],PARAMETER[""false_northing"",10000000],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH],AUTHORITY[""EPSG"",""2193""]]","| 0.94, 0.00, 1737085.20|
| 0.00,-0.94, 6039917.24|
| 0.00, 0.00, 1.00|",1024.0,1024,True,,,0,"(0.9372020209999998, 0.9372020210000556)",True,
Retrolens/Northland/WhangareiHeads/Shorelines/WhangareiHeads_13MAR1950.shp,Retrolens/Northland/WhangareiHeads/Stack/WhangareiHeads_13MAR1950_mosaic.jp2,100.0,1,JP2OpenJPEG,uint16,256.0,29820,40692,1,"PROJCS[""NZGD2000 / New Zealand Transverse Mercator 2000"",GEOGCS[""NZGD2000"",DATUM[""New_Zealand_Geodetic_Datum_2000"",SPHEROID[""GRS 1980"",6378137,298.257222101004,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""6167""]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4167""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",173],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",1600000],PARAMETER[""false_northing"",10000000],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH],AUTHORITY[""EPSG"",""2193""]]","| 0.26, 0.00, 1737085.20|
| 0.00,-0.26, 6039917.24|
| 0.00, 0.00, 1.00|",,40692,False,,,0,"(0.2586761838999873, 0.25867618389997915)",True,
Retrolens/Northland/WhangareiHeads/Shorelines/WhangareiHeads_19DEC1984.shp,Retrolens/Northland/WhangareiHeads/Stack/WhangareiHeads_19DEC1984_mosaic.jp2,100.0,8,JP2OpenJPEG,uint16,256.0,10324,14087,1,"PROJCS[""NZGD2000 / New Zealand Transverse Mercator 2000"",GEOGCS[""NZGD2000"",DATUM[""New_Zealand_Geodetic_Datum_2000"",SPHEROID[""GRS 1980"",6378137,298.257222101004,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""6167""]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4167""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",173],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",1600000],PARAMETER[""false_northing"",10000000],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH],AUTHORITY[""EPSG"",""2193""]]","| 0.75, 0.00, 1737085.20|
| 0.00,-0.75, 6039917.24|
| 0.00, 0.00, 1.00|",1024.0,1024,True,,,0,"(0.7471877562999563, 0.7471877562999831)",True,
